iter	RMSE
0	3651.953529
1	3325.774295
2	3035.795249
3	2770.325365
4	2533.983138
5	2319.473746
6	2128.480109
7	1954.756811
8	1805.970128
9	1670.930014
10	1545.825476
11	1435.981924
12	1341.419705
13	1257.632726
14	1178.987871
15	1109.002953
16	1049.283911
17	993.0049112
18	943.9616339
19	902.0821778
20	864.883568
21	832.0122955
22	803.7411729
23	778.016346
24	755.4608942
25	735.1861413
26	717.0081143
27	701.519324
28	687.0815477
29	673.5119555
30	662.2709108
31	651.9430378
32	642.0704676
33	633.80383
34	626.5816927
35	619.9078123
36	613.8217669
37	609.0241704
38	603.8885567
39	598.9067452
40	594.9045777
41	590.699896
42	587.2545205
43	584.4655733
44	581.9964583
45	579.2756415
46	577.4787384
47	575.0731534
48	572.6368988
49	570.7638393
50	568.9107417
51	566.957584
52	564.457411
53	562.5318218
54	560.7804949
55	559.3720719
56	557.5983471
57	555.9460766
58	554.786339
59	553.6685698
60	551.6420838
61	550.5674547
62	549.7431754
63	548.7197811
64	547.5974574
65	546.8433635
66	545.4667362
67	544.3877191
68	543.5755596
69	542.3051966
70	541.2657165
71	540.4283223
72	539.7527155
73	539.0068269
74	538.0578387
75	537.6846916
76	537.1303325
77	536.1365998
78	534.7234342
79	534.1392857
80	533.0395966
81	532.5048358
82	532.0263683
83	531.3396785
84	530.5098158
85	530.0534016
86	529.2587863
87	528.3322884
88	527.5170833
89	527.1477574
90	526.3345171
91	525.9619514
92	525.2885335
93	524.7937175
94	524.6069057
95	523.8803453
96	523.3674317
97	523.0140871
98	522.4807137
99	521.9534806
100	521.2694487
101	520.726161
102	519.9628724
103	519.4764574
104	518.8918446
105	518.4988662
106	518.1683107
107	517.4551496
108	517.0507934
109	516.7342418
110	516.3720773
111	515.7256769
112	515.1437165
113	514.8108473
114	514.4409703
115	514.0501253
116	513.6553576
117	513.1563194
118	512.8314479
119	512.2823563
120	511.8184748
121	511.7186768
122	511.0681249
123	510.9147223
124	510.395466
125	509.8244265
126	509.4016497
127	509.0096384
128	508.8202808
129	508.5440457
130	508.3253388
131	508.0579424
132	507.7958896
133	507.1852906
134	506.8341255
135	506.4284747
136	506.1393682
137	505.6904857
138	505.567046
139	505.2442978
140	505.0971714
141	504.3621033
142	503.8751094
143	503.5939721
144	503.2320767
145	502.6290832
146	502.3649672
147	502.2307285
148	501.8845421
149	501.5185335
150	500.9408026
151	500.6466444
152	500.3043876
153	500.1820074
154	499.8762531
155	499.5511599
156	498.5489538
157	497.7176498
158	497.3460696
159	496.922072
160	496.7513684
161	496.413475
162	496.0876739
163	495.6372934
164	495.2182512
165	494.937399
166	494.7779924
167	494.583725
168	494.3838138
169	494.2904446
170	493.8442187
171	493.5009222
172	493.1838001
173	493.0231685
174	492.6512566
175	492.2641508
176	491.9941509
177	491.666654
178	491.5709783
179	491.3389146
180	491.0572182
181	490.9146557
182	490.5707516
183	490.3732377
184	489.923854
185	489.4481372
186	488.8491803
187	488.5895503
188	488.1658617
189	487.2050211
190	486.9051273
