iter	Passed	Remaining
0	3	1530
1	5	1304
2	8	1408
3	11	1451
4	14	1481
5	25	2088
6	30	2119
7	34	2103
8	37	2072
9	42	2065
10	45	2036
11	49	2022
12	53	2006
13	56	1978
14	60	1950
15	63	1924
16	67	1917
17	70	1892
18	74	1877
19	77	1858
20	80	1843
21	84	1825
22	87	1818
23	90	1802
24	93	1783
25	97	1778
26	100	1769
27	104	1766
28	108	1754
29	111	1744
30	114	1738
31	118	1730
32	121	1723
33	124	1712
34	127	1699
35	131	1693
36	134	1685
37	138	1678
38	141	1671
39	144	1663
40	148	1657
41	151	1651
42	154	1643
43	157	1637
44	161	1631
45	164	1621
46	167	1615
47	171	1614
48	175	1610
49	178	1605
50	181	1596
51	184	1590
52	187	1584
53	191	1579
54	194	1574
55	198	1570
56	201	1566
57	204	1560
58	208	1556
59	211	1551
60	214	1544
61	218	1542
62	221	1536
63	225	1533
64	228	1531
65	232	1526
66	235	1519
67	238	1516
68	241	1509
69	245	1506
70	248	1501
71	252	1499
72	256	1498
73	259	1494
74	262	1488
75	266	1484
76	269	1481
77	272	1476
78	275	1469
79	279	1466
80	282	1462
81	285	1456
82	288	1451
83	292	1447
84	295	1443
85	298	1438
86	302	1435
87	305	1431
88	309	1429
89	312	1424
90	315	1419
91	319	1415
92	322	1409
93	325	1406
94	329	1403
95	332	1399
96	335	1394
97	338	1389
98	341	1384
99	344	1379
100	348	1376
101	351	1370
102	354	1366
103	357	1360
104	361	1358
105	364	1353
106	367	1349
107	370	1344
108	373	1340
109	377	1337
110	380	1333
111	383	1329
112	386	1325
113	390	1322
114	393	1318
115	396	1314
116	400	1310
117	403	1306
118	406	1302
119	410	1299
120	413	1295
121	416	1290
122	419	1286
123	422	1282
124	425	1277
125	429	1274
126	432	1270
127	436	1267
128	439	1264
129	443	1262
130	446	1258
131	450	1254
132	453	1250
133	456	1245
134	459	1242
135	462	1237
136	466	1235
137	469	1231
138	472	1227
139	476	1224
140	479	1220
141	482	1216
142	486	1213
143	489	1210
144	492	1206
145	496	1202
146	499	1200
147	502	1195
148	506	1192
149	509	1189
150	512	1185
151	516	1181
152	519	1177
153	522	1173
154	525	1170
155	529	1167
156	532	1163
157	535	1159
158	539	1156
159	542	1153
160	545	1149
161	549	1146
162	553	1143
163	556	1140
164	560	1137
165	563	1134
166	566	1130
167	570	1126
168	573	1123
169	576	1119
170	579	1115
171	583	1112
172	586	1109
173	590	1106
174	593	1102
175	597	1100
176	601	1097
177	604	1093
178	607	1089
179	610	1085
180	613	1081
181	617	1079
182	620	1075
183	624	1072
184	628	1069
185	631	1066
186	634	1062
187	637	1058
188	641	1054
189	644	1051
190	647	1048
191	651	1044
192	654	1040
193	657	1037
194	660	1033
195	664	1030
196	667	1026
197	670	1022
198	673	1018
199	676	1015
200	679	1011
201	683	1007
202	686	1004
203	689	1000
204	692	996
205	695	992
206	698	989
207	702	985
208	705	982
209	708	978
210	711	974
211	714	971
212	718	967
213	721	964
214	724	960
215	728	957
216	731	953
217	734	950
218	737	946
219	741	943
220	744	939
221	748	936
222	750	932
223	754	929
224	758	926
225	761	923
226	764	919
227	767	916
228	771	912
229	774	909
230	777	905
231	781	902
232	784	898
233	788	896
234	791	892
235	795	889
236	799	886
237	802	883
238	805	879
239	808	876
240	812	873
241	815	869
242	819	866
243	822	862
244	825	859
245	828	855
246	832	852
247	835	848
248	839	845
249	842	842
250	845	838
251	848	835
252	852	831
253	855	828
254	858	824
255	861	821
256	865	818
257	868	814
258	872	812
259	876	808
260	879	805
261	883	802
262	886	799
263	890	795
264	893	792
265	896	788
266	899	785
267	903	781
268	906	778
269	909	774
270	913	771
271	916	768
272	919	764
273	923	761
274	926	758
275	929	754
276	933	751
277	936	748
278	940	744
279	943	741
280	946	737
281	950	734
282	953	731
283	957	728
284	960	724
285	963	721
286	966	717
287	970	714
288	973	710
289	977	707
290	980	704
291	983	700
292	988	698
293	991	694
294	994	691
295	998	688
296	1001	684
297	1005	681
298	1008	677
299	1011	674
300	1014	670
301	1017	667
302	1021	664
303	1024	660
304	1027	656
305	1030	653
306	1034	650
307	1037	646
308	1040	643
309	1044	640
310	1047	636
311	1050	633
312	1053	629
313	1057	626
314	1060	623
315	1064	619
316	1067	616
317	1071	612
318	1074	609
319	1077	606
320	1081	603
321	1084	599
322	1088	596
323	1091	592
324	1095	589
325	1098	586
326	1102	583
327	1105	579
328	1108	576
329	1111	572
330	1114	569
331	1118	565
332	1121	562
333	1125	559
334	1128	555
335	1131	552
336	1135	549
337	1138	545
338	1141	541
339	1144	538
340	1147	535
341	1161	536
342	1165	533
343	1175	532
344	1184	532
345	1187	528
346	1191	525
347	1194	521
348	1198	518
349	1201	514
350	1204	511
351	1207	507
352	1210	504
353	1214	500
354	1217	497
355	1220	493
356	1224	490
357	1227	486
358	1230	483
359	1234	480
360	1237	476
361	1240	473
362	1244	469
363	1247	466
364	1250	462
365	1253	459
366	1257	455
367	1260	452
368	1263	448
369	1266	445
370	1270	441
371	1273	438
372	1277	434
373	1280	431
374	1283	427
375	1286	424
376	1290	420
377	1293	417
378	1296	413
379	1299	410
380	1302	406
381	1303	402
382	1307	399
383	1310	395
384	1313	392
385	1316	388
386	1320	385
387	1323	382
388	1325	378
389	1328	374
390	1332	371
391	1335	367
392	1338	364
393	1342	361
394	1345	357
395	1348	354
396	1352	350
397	1355	347
398	1358	343
399	1361	340
400	1365	337
401	1369	333
402	1372	330
403	1376	326
404	1379	323
405	1382	320
406	1386	316
407	1389	313
408	1392	309
409	1395	306
410	1398	302
411	1401	299
412	1405	296
413	1408	292
414	1411	289
415	1416	285
416	1419	282
417	1423	279
418	1426	275
419	1430	272
420	1433	268
421	1436	265
422	1439	262
423	1443	258
424	1446	255
425	1449	251
426	1453	248
427	1456	244
428	1459	241
429	1463	238
430	1466	234
431	1470	231
432	1473	227
433	1476	224
434	1479	221
435	1483	217
436	1486	214
437	1489	210
438	1493	207
439	1497	204
440	1500	200
441	1503	197
442	1507	193
443	1510	190
444	1514	187
445	1517	183
446	1521	180
447	1524	176
448	1527	173
449	1531	170
450	1534	166
451	1537	163
452	1540	159
453	1543	156
454	1547	153
455	1550	149
456	1553	146
457	1557	142
458	1560	139
459	1564	136
460	1567	132
461	1570	129
462	1574	125
463	1577	122
464	1580	118
465	1584	115
466	1587	112
467	1590	108
468	1593	105
469	1597	101
470	1600	98
471	1604	95
472	1607	91
473	1610	88
474	1614	84
475	1617	81
476	1620	78
477	1624	74
478	1627	71
479	1630	67
480	1633	64
481	1637	61
482	1640	57
483	1643	54
484	1647	50
485	1650	47
486	1653	44
487	1657	40
488	1660	37
489	1663	33
490	1667	30
491	1671	27
492	1674	23
493	1677	20
494	1680	16
495	1683	13
496	1687	10
497	1690	6
498	1693	3
499	1696	0
